iter	Passed	Remaining
0	1	1471
1	2	1428
2	4	1356
3	5	1333
4	6	1254
5	7	1238
6	8	1224
7	9	1221
8	11	1221
9	12	1218
10	13	1212
11	14	1228
12	16	1239
13	17	1245
14	19	1251
15	20	1248
16	21	1248
17	23	1255
18	24	1257
19	25	1259
20	27	1260
21	28	1258
22	29	1259
23	31	1262
24	32	1263
25	33	1264
26	35	1263
27	36	1264
28	37	1264
29	39	1265
30	40	1265
31	41	1266
32	43	1267
33	44	1268
34	46	1269
35	47	1269
36	48	1268
37	50	1268
38	51	1269
39	52	1268
40	54	1267
41	55	1267
42	56	1265
43	58	1264
44	59	1261
45	60	1260
46	62	1261
47	63	1261
48	64	1260
49	66	1259
50	67	1258
51	68	1257
52	70	1256
53	71	1255
54	72	1254
55	74	1254
56	75	1255
57	77	1256
58	78	1255
59	80	1254
60	81	1253
61	82	1253
62	84	1251
63	85	1250
64	86	1249
65	88	1248
66	89	1248
67	91	1247
68	92	1248
69	94	1250
70	95	1252
71	97	1254
72	98	1254
73	99	1250
74	101	1249
75	102	1249
76	104	1251
77	105	1252
78	107	1252
79	108	1253
80	110	1253
81	111	1253
82	113	1252
83	114	1252
84	116	1251
85	117	1251
86	119	1252
87	120	1251
88	122	1251
89	123	1251
90	135	1349
91	136	1349
92	138	1347
93	139	1345
94	141	1344
95	142	1343
96	144	1342
97	145	1340
98	147	1339
99	148	1339
100	150	1337
101	151	1336
102	153	1335
103	154	1334
104	156	1334
105	158	1334
106	159	1334
107	161	1334
108	163	1335
109	165	1335
110	166	1334
111	168	1333
112	169	1332
113	171	1332
114	173	1332
115	174	1331
116	176	1329
117	177	1329
118	179	1329
119	181	1328
120	182	1326
121	184	1325
122	185	1323
123	187	1322
124	188	1322
125	190	1321
126	192	1320
127	193	1318
128	195	1316
129	196	1314
130	197	1313
131	199	1312
132	200	1310
133	202	1309
134	204	1309
135	205	1307
136	207	1306
137	209	1305
138	210	1303
139	211	1302
140	213	1300
141	215	1299
142	216	1297
143	217	1295
144	219	1294
145	221	1293
146	222	1292
147	224	1290
148	225	1288
149	227	1286
150	228	1284
151	229	1281
152	231	1279
153	232	1277
154	234	1275
155	235	1274
156	236	1272
157	238	1270
158	239	1268
159	241	1267
160	242	1265
161	244	1263
162	245	1262
163	247	1260
164	248	1258
165	250	1257
166	251	1255
167	253	1253
168	254	1251
169	255	1249
170	257	1247
171	258	1245
172	260	1243
173	261	1242
174	263	1240
175	264	1238
176	266	1237
177	267	1235
178	268	1233
179	270	1231
180	271	1229
181	273	1227
182	274	1225
183	275	1223
184	277	1221
185	278	1220
186	280	1219
187	282	1218
188	283	1216
189	285	1215
190	286	1213
191	288	1212
192	289	1211
193	291	1209
194	292	1208
195	294	1207
196	295	1205
197	297	1204
198	298	1202
199	300	1200
200	301	1199
201	303	1198
202	304	1196
203	306	1194
204	307	1193
205	309	1191
206	310	1190
207	312	1189
208	313	1187
209	315	1185
210	316	1184
211	318	1183
212	319	1181
213	321	1180
214	322	1178
215	324	1176
216	325	1175
217	327	1174
218	328	1172
