GroupSize,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Deck,Num,Side,Transported,TotalSpending
1,1.0,0.0,2.0,39.0,0.0,0,0,0,0,0,1.0,0,0.0,False,0.0
1,0.0,0.0,2.0,24.0,0.0,1,1,1,1,1,5.0,0,1.0,True,736.0
2,1.0,0.0,2.0,58.0,1.0,1,1,0,1,1,0.0,0,1.0,False,10383.0
2,1.0,0.0,2.0,33.0,0.0,0,1,1,1,1,0.0,0,1.0,False,5176.0
1,0.0,0.0,2.0,16.0,0.0,1,1,1,1,1,5.0,1,1.0,True,1091.0
1,0.0,0.0,1.0,44.0,0.0,0,1,0,1,0,5.0,0,0.0,True,774.0
2,0.0,0.0,2.0,26.0,0.0,1,1,1,0,0,5.0,2,1.0,True,1584.0
2,0.0,1.0,2.0,28.0,0.0,0,0,0,0,0,6.0,0,1.0,True,0.0
1,0.0,0.0,2.0,35.0,0.0,0,1,1,1,0,5.0,3,1.0,True,1018.0
3,1.0,1.0,0.0,14.0,0.0,0,0,0,0,0,1.0,1,0.0,True,0.0
3,1.0,1.0,2.0,34.0,0.0,0,0,0,0,0,1.0,1,0.0,True,0.0
3,1.0,0.0,0.0,45.0,0.0,1,1,1,1,1,1.0,1,0.0,True,8157.0
1,2.0,0.0,2.0,32.0,0.0,1,0,1,0,1,5.0,1,0.0,True,1309.0
1,0.0,0.0,2.0,48.0,0.0,1,1,1,0,1,6.0,1,1.0,False,809.0
1,0.0,0.0,2.0,28.0,0.0,1,1,1,1,1,5.0,2,0.0,True,1003.0
1,0.0,0.0,2.0,31.0,0.0,1,0,1,0,0,2.0,1270,1.0,False,908.0
1,2.0,0.0,0.0,27.0,0.0,1,1,0,0,0,5.0,3,0.0,False,1408.0
1,0.0,0.0,0.0,24.0,0.0,0,1,0,0,1,5.0,4,0.0,False,638.0
1,2.0,1.0,2.0,45.0,0.0,0,0,0,0,0,5.0,5,0.0,True,0.0
2,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,6.0,0,0.0,True,0.0
