Group,GroupSize,HomePlanet,CryoSleep,Destination,Age,VIP,Deck,Num,Side,Transported,TotalSpending
0001,1,Europa,False,TRAPPIST-1e,39.0,False,B,0,P,False,0.0
0002,1,Earth,False,TRAPPIST-1e,24.0,False,F,0,S,True,736.0
0003,2,Europa,False,TRAPPIST-1e,58.0,True,A,0,S,False,10383.0
0003,2,Europa,False,TRAPPIST-1e,33.0,False,A,0,S,False,5176.0
0004,1,Earth,False,TRAPPIST-1e,16.0,False,F,1,S,True,1091.0
0005,1,Earth,False,PSO J318.5-22,44.0,False,F,0,P,True,774.0
0006,2,Earth,False,TRAPPIST-1e,26.0,False,F,2,S,True,1584.0
0006,2,Earth,True,TRAPPIST-1e,28.0,False,G,0,S,True,0.0
0007,1,Earth,False,TRAPPIST-1e,35.0,False,F,3,S,True,1018.0
0008,3,Europa,True,55 Cancri e,14.0,False,B,1,P,True,0.0
0008,3,Europa,True,TRAPPIST-1e,34.0,False,B,1,P,True,0.0
0008,3,Europa,False,55 Cancri e,45.0,False,B,1,P,True,8157.0
0009,1,Mars,False,TRAPPIST-1e,32.0,False,F,1,P,True,1309.0
0010,1,Earth,False,TRAPPIST-1e,48.0,False,G,1,S,False,809.0
0011,1,Earth,False,TRAPPIST-1e,28.0,False,F,2,P,True,1003.0
0012,1,Earth,False,TRAPPIST-1e,31.0,False,C,1270,S,False,908.0
0014,1,Mars,False,55 Cancri e,27.0,False,F,3,P,False,1408.0
0015,1,Earth,False,55 Cancri e,24.0,False,F,4,P,False,638.0
0016,1,Mars,True,TRAPPIST-1e,45.0,False,F,5,P,True,0.0
0017,2,Earth,False,TRAPPIST-1e,0.0,False,G,0,P,True,0.0
0017,2,Earth,False,55 Cancri e,14.0,False,F,6,P,False,1092.0
0020,6,Earth,True,TRAPPIST-1e,1.0,False,E,0,S,False,0.0
0020,6,Earth,True,55 Cancri e,49.0,False,E,0,S,False,0.0
0020,6,Earth,True,55 Cancri e,29.0,False,E,0,S,False,0.0
0020,6,Earth,False,TRAPPIST-1e,10.0,False,E,0,S,True,0.0
