PassengerId,n_missing,colonne_mancanti
1284_01,3,Destination | Age | FoodCourt
2822_02,3,CryoSleep | VIP | VRDeck
2970_01,3,Cabin | Age | Spa
3315_01,3,CryoSleep | Spa | Name
3790_01,3,HomePlanet | FoodCourt | Spa
4167_01,3,Cabin | Age | VIP
4446_05,3,CryoSleep | ShoppingMall | Spa
4840_01,3,HomePlanet | ShoppingMall | Name
5555_01,3,HomePlanet | Destination | VIP
5777_01,3,CryoSleep | VIP | ShoppingMall
6141_02,3,Cabin | Destination | Name
6405_02,3,CryoSleep | Cabin | Destination
6451_01,3,Cabin | Destination | FoodCourt
7314_01,3,CryoSleep | Destination | Spa
7472_01,3,Age | VRDeck | Name
7703_02,3,HomePlanet | ShoppingMall | Name
8202_03,3,HomePlanet | Age | VRDeck
0064_02,2,HomePlanet | ShoppingMall
0115_01,2,CryoSleep | VRDeck
0202_02,2,Age | ShoppingMall
0210_01,2,HomePlanet | ShoppingMall
0278_01,2,Cabin | VRDeck
0310_01,2,Cabin | RoomService
0313_02,2,Age | ShoppingMall
0348_02,2,CryoSleep | Cabin
0382_01,2,HomePlanet | Destination
0498_01,2,Cabin | FoodCourt
0520_01,2,FoodCourt | VRDeck
0539_01,2,Age | ShoppingMall
0568_02,2,Age | VRDeck
0571_04,2,Destination | VRDeck
0573_01,2,Age | VRDeck
0576_01,2,Destination | FoodCourt
0593_01,2,Age | VIP
0594_02,2,HomePlanet | RoomService
0598_01,2,ShoppingMall | VRDeck
0665_01,2,HomePlanet | RoomService
0679_01,2,VIP | RoomService
0693_01,2,Cabin | Spa
0709_02,2,VIP | FoodCourt
0709_03,2,Cabin | ShoppingMall
0714_03,2,Destination | ShoppingMall
0715_01,2,CryoSleep | Cabin
0865_01,2,FoodCourt | Name
0890_01,2,FoodCourt | Name
0903_01,2,VIP | Spa
0982_02,2,RoomService | FoodCourt
1022_01,2,Cabin | VIP
1065_01,2,Age | VIP
1085_01,2,CryoSleep | VIP
1116_02,2,CryoSleep | Cabin
1150_01,2,VIP | RoomService
1154_01,2,FoodCourt | Spa
1198_01,2,Cabin | VIP
1287_02,2,Spa | Name
1294_03,2,RoomService | ShoppingMall
1295_01,2,CryoSleep | Cabin
1427_01,2,Destination | ShoppingMall
1453_01,2,CryoSleep | VIP
1460_01,2,Destination | RoomService
1461_01,2,Age | FoodCourt
1577_01,2,Destination | ShoppingMall
1624_03,2,CryoSleep | VRDeck
1645_01,2,HomePlanet | Cabin
1655_01,2,Cabin | FoodCourt
1688_02,2,Cabin | RoomService
1711_01,2,CryoSleep | Name
1712_01,2,CryoSleep | Name
1727_01,2,Destination | Age
1762_02,2,Destination | FoodCourt
1782_02,2,VIP | FoodCourt
1811_02,2,Age | VIP
1823_01,2,HomePlanet | Cabin
1829_01,2,VRDeck | Name
1834_01,2,Destination | Name
1865_04,2,VRDeck | Name
1978_01,2,HomePlanet | Name
2062_01,2,CryoSleep | Name
2092_03,2,Cabin | VIP
2252_01,2,Destination | Spa
2291_01,2,CryoSleep | Spa
2312_01,2,HomePlanet | ShoppingMall
2384_07,2,HomePlanet | Cabin
2390_01,2,CryoSleep | ShoppingMall
2443_01,2,HomePlanet | Name
2470_02,2,FoodCourt | VRDeck
2584_01,2,CryoSleep | ShoppingMall
2636_01,2,RoomService | VRDeck
2747_01,2,CryoSleep | VIP
2778_01,2,VIP | Spa
2822_01,2,HomePlanet | ShoppingMall
2901_02,2,RoomService | Spa
2960_01,2,RoomService | FoodCourt
2992_01,2,HomePlanet | FoodCourt
3013_01,2,HomePlanet | RoomService
3166_01,2,Age | RoomService
3243_01,2,FoodCourt | VRDeck
3292_03,2,RoomService | Spa
3318_04,2,Destination | RoomService
3331_01,2,HomePlanet | Name
3462_01,2,VIP | FoodCourt
3476_01,2,CryoSleep | FoodCourt
3476_03,2,Spa | Name
3531_02,2,VIP | RoomService
3645_05,2,ShoppingMall | VRDeck
3703_01,2,HomePlanet | RoomService
3821_01,2,Cabin | Age
3867_01,2,FoodCourt | VRDeck
3888_01,2,Destination | Name
3896_01,2,HomePlanet | CryoSleep
3903_03,2,Spa | Name
3938_01,2,Destination | Name
4031_01,2,Age | FoodCourt
4044_02,2,FoodCourt | Name
4061_03,2,Spa | Name
4071_01,2,Destination | Age
4071_02,2,ShoppingMall | VRDeck
4127_01,2,CryoSleep | VRDeck
4134_01,2,HomePlanet | Cabin
4149_01,2,VIP | RoomService
4160_01,2,FoodCourt | Name
4181_02,2,Destination | FoodCourt
4212_01,2,HomePlanet | Spa
4351_01,2,Destination | VIP
4404_01,2,CryoSleep | RoomService
4440_01,2,HomePlanet | RoomService
4474_03,2,ShoppingMall | VRDeck
4524_01,2,Age | VIP
4550_01,2,Spa | VRDeck
4559_01,2,RoomService | ShoppingMall
4570_01,2,ShoppingMall | Name
4637_01,2,Cabin | VRDeck
4672_01,2,FoodCourt | ShoppingMall
4673_01,2,Destination | VRDeck
4680_03,2,CryoSleep | Name
4728_02,2,Destination | RoomService
4836_01,2,Cabin | FoodCourt
4863_01,2,CryoSleep | ShoppingMall
4974_02,2,Cabin | VRDeck
5070_01,2,Destination | VIP
5090_01,2,CryoSleep | Name
5144_01,2,VIP | Name
5157_01,2,CryoSleep | Spa
5160_01,2,FoodCourt | ShoppingMall
5322_01,2,Spa | VRDeck
5406_01,2,HomePlanet | VIP
5434_01,2,Age | VIP
5471_01,2,FoodCourt | VRDeck
5474_01,2,Cabin | ShoppingMall
5527_03,2,RoomService | Name
5647_01,2,FoodCourt | VRDeck
5736_01,2,CryoSleep | FoodCourt
5756_04,2,CryoSleep | Name
5897_01,2,CryoSleep | Name
5941_01,2,Age | Name
5977_02,2,Spa | Name
5989_01,2,HomePlanet | ShoppingMall
6007_01,2,Destination | ShoppingMall
6031_01,2,HomePlanet | Destination
6035_02,2,CryoSleep | VIP
6039_01,2,CryoSleep | Name
6048_01,2,Cabin | Destination
6108_01,2,HomePlanet | Name
6139_01,2,CryoSleep | ShoppingMall
6145_01,2,CryoSleep | Age
6170_01,2,Destination | ShoppingMall
6173_01,2,ShoppingMall | Name
6246_01,2,RoomService | VRDeck
6265_01,2,Cabin | FoodCourt
6348_01,2,Age | ShoppingMall
6363_07,2,Age | FoodCourt
6413_01,2,VIP | ShoppingMall
6419_01,2,CryoSleep | RoomService
6512_02,2,HomePlanet | Age
6623_01,2,HomePlanet | RoomService
6634_02,2,HomePlanet | Cabin
6684_02,2,VIP | FoodCourt
6708_02,2,VRDeck | Name
6741_02,2,CryoSleep | VIP
6787_05,2,ShoppingMall | VRDeck
6810_03,2,Cabin | RoomService
6850_01,2,VIP | ShoppingMall
6970_01,2,Cabin | VIP
6992_01,2,HomePlanet | Destination
7053_01,2,CryoSleep | VRDeck
7137_01,2,RoomService | Spa
7338_01,2,Spa | VRDeck
7401_01,2,CryoSleep | ShoppingMall
7512_01,2,CryoSleep | ShoppingMall
7584_01,2,CryoSleep | Destination
7711_01,2,HomePlanet | CryoSleep
7746_01,2,Cabin | Age
7801_01,2,HomePlanet | Cabin
7848_01,2,CryoSleep | Cabin
7891_02,2,CryoSleep | Cabin
7950_01,2,HomePlanet | Spa
7950_02,2,Age | Name
8015_01,2,CryoSleep | VRDeck
8202_01,2,FoodCourt | Spa
8272_03,2,FoodCourt | Spa
8300_01,2,Destination | FoodCourt
8306_03,2,Destination | Spa
8322_01,2,Cabin | RoomService
8366_02,2,Cabin | Name
8487_01,2,CryoSleep | FoodCourt
8574_02,2,CryoSleep | Destination
8602_03,2,Destination | VIP
8663_02,2,Cabin | VIP
8772_02,2,Cabin | VRDeck
8849_01,2,ShoppingMall | VRDeck
8871_02,2,RoomService | ShoppingMall
8906_01,2,ShoppingMall | Spa
9034_04,2,FoodCourt | Name
9074_01,2,VIP | ShoppingMall
9192_01,2,RoomService | ShoppingMall
9194_01,2,HomePlanet | Name
9197_04,2,FoodCourt | Spa
9246_01,2,CryoSleep | Name
9248_01,2,HomePlanet | VIP
9259_01,2,CryoSleep | VRDeck
0006_02,1,VRDeck
0008_02,1,ShoppingMall
0012_01,1,Cabin
0014_01,1,ShoppingMall
0020_03,1,ShoppingMall
0020_05,1,RoomService
0022_01,1,Name
0024_01,1,ShoppingMall
0031_03,1,RoomService
0036_01,1,VIP
0039_01,1,ShoppingMall
0045_02,1,Destination
0050_01,1,Spa
0052_01,1,Age
0064_01,1,Name
0068_01,1,Age
0069_01,1,Name
0082_03,1,Name
0091_01,1,RoomService
0092_02,1,ShoppingMall
0099_02,1,CryoSleep
0101_01,1,Cabin
0103_01,1,FoodCourt
0105_01,1,CryoSleep
0108_02,1,Name
0108_03,1,VIP
0110_01,1,Cabin
0110_02,1,CryoSleep
0119_01,1,HomePlanet
0120_01,1,VRDeck
0129_01,1,ShoppingMall
0136_01,1,Name
0138_02,1,Destination
0141_01,1,RoomService
0149_01,1,Age
0152_01,1,Destination
0164_01,1,Spa
0165_01,1,VIP
0173_01,1,CryoSleep
0190_01,1,Name
0193_02,1,RoomService
0198_01,1,CryoSleep
0206_01,1,Age
0220_04,1,ShoppingMall
0232_01,1,FoodCourt
0234_01,1,RoomService
0239_01,1,Cabin
0241_01,1,CryoSleep
0242_01,1,HomePlanet
0244_01,1,Cabin
0244_02,1,VIP
0250_01,1,RoomService
0251_01,1,HomePlanet
0257_01,1,ShoppingMall
0265_01,1,Spa
0275_01,1,Age
0287_01,1,Cabin
0290_03,1,CryoSleep
0294_01,1,Spa
0301_01,1,Cabin
0303_01,1,HomePlanet
0315_01,1,HomePlanet
0316_01,1,ShoppingMall
0316_02,1,VRDeck
0320_01,1,Spa
0320_02,1,VRDeck
0321_01,1,HomePlanet
0327_01,1,Cabin
0330_02,1,Name
0337_03,1,Name
0338_01,1,ShoppingMall
0355_01,1,Cabin
0357_01,1,RoomService
0365_01,1,Age
0372_01,1,Name
0380_01,1,Cabin
0381_02,1,ShoppingMall
0402_01,1,HomePlanet
0405_01,1,FoodCourt
0407_01,1,RoomService
0423_01,1,Age
0427_01,1,FoodCourt
0433_01,1,CryoSleep
0438_01,1,RoomService
0439_01,1,RoomService
0444_02,1,HomePlanet
0445_02,1,HomePlanet
0448_02,1,Name
0453_02,1,Cabin
0454_01,1,CryoSleep
0462_01,1,Destination
0463_01,1,Spa
0465_02,1,Age
0468_01,1,Cabin
0470_01,1,VRDeck
0470_02,1,HomePlanet
0476_01,1,RoomService
0480_01,1,RoomService
0487_01,1,CryoSleep
0488_01,1,ShoppingMall
0498_02,1,Spa
0501_01,1,Spa
0502_01,1,Cabin
0504_03,1,Destination
0504_06,1,HomePlanet
0517_01,1,Age
0518_01,1,HomePlanet
0519_01,1,Age
0521_01,1,VRDeck
0525_01,1,Cabin
0527_01,1,Age
0531_02,1,Age
0539_03,1,HomePlanet
0540_02,1,HomePlanet
0560_03,1,HomePlanet
0564_03,1,Destination
0568_01,1,CryoSleep
0579_02,1,RoomService
0596_01,1,VRDeck
0597_01,1,Destination
0599_02,1,FoodCourt
0607_01,1,VIP
0607_02,1,Spa
0607_03,1,VRDeck
0609_01,1,ShoppingMall
0610_01,1,FoodCourt
0614_01,1,Spa
0619_01,1,VIP
0639_01,1,VRDeck
0645_01,1,Destination
0653_01,1,CryoSleep
0657_01,1,Name
0658_01,1,VRDeck
0680_03,1,VIP
0684_01,1,Age
0686_02,1,ShoppingMall
0699_01,1,Destination
0707_01,1,ShoppingMall
0712_01,1,CryoSleep
0712_02,1,CryoSleep
0732_01,1,Cabin
0737_01,1,VRDeck
0738_01,1,CryoSleep
0753_01,1,Destination
0753_02,1,Name
0753_03,1,Cabin
0754_01,1,VRDeck
0756_03,1,ShoppingMall
