feature,value,count,percentage
Age,24.0,324,3.7271
Age,18.0,320,3.6811
Age,21.0,311,3.5776
Age,19.0,293,3.3705
Age,23.0,292,3.359
Age,22.0,291,3.3475
Age,20.0,277,3.1865
Age,26.0,268,3.0829
Age,28.0,267,3.0714
Age,27.0,259,2.9794
Age,25.0,243,2.7954
Age,29.0,230,2.6458
Age,31.0,202,2.3237
Age,32.0,199,2.2892
Age,30.0,183,2.1051
Age,<NULL>,179,2.0591
Age,33.0,178,2.0476
Age,0.0,178,2.0476
Age,36.0,178,2.0476
Age,37.0,177,2.0361
Age,35.0,171,1.9671
Age,38.0,161,1.8521
Age,17.0,158,1.8176
Age,15.0,155,1.783
Age,34.0,148,1.7025
Age,16.0,147,1.691
Age,13.0,141,1.622
Age,39.0,138,1.5875
Age,14.0,138,1.5875
Age,41.0,129,1.484
Age,43.0,128,1.4724
Age,40.0,128,1.4724
Age,42.0,119,1.3689
Age,44.0,115,1.3229
Age,46.0,97,1.1158
Age,45.0,89,1.0238
Age,47.0,88,1.0123
Age,49.0,83,0.9548
Age,2.0,75,0.8628
Age,3.0,75,0.8628
Age,50.0,74,0.8513
Age,48.0,72,0.8283
Age,4.0,71,0.8167
Age,55.0,68,0.7822
Age,54.0,67,0.7707
Age,1.0,67,0.7707
Age,53.0,61,0.7017
Age,51.0,59,0.6787
Age,7.0,52,0.5982
Age,52.0,52,0.5982
Age,56.0,48,0.5522
Age,58.0,47,0.5407
Age,11.0,47,0.5407
Age,8.0,46,0.5292
Age,57.0,46,0.5292
Age,9.0,42,0.4831
Age,12.0,41,0.4716
Age,6.0,40,0.4601
Age,10.0,39,0.4486
Age,59.0,35,0.4026
Age,60.0,34,0.3911
Age,5.0,33,0.3796
Age,61.0,32,0.3681
Age,64.0,29,0.3336
Age,62.0,26,0.2991
Age,63.0,26,0.2991
Age,65.0,23,0.2646
Age,67.0,13,0.1495
Age,68.0,12,0.138
Age,70.0,9,0.1035
Age,66.0,7,0.0805
Age,73.0,7,0.0805
Age,71.0,7,0.0805
Age,69.0,6,0.069
Age,74.0,5,0.0575
Age,75.0,4,0.046
Age,72.0,4,0.046
Age,78.0,3,0.0345
Age,79.0,3,0.0345
Age,76.0,2,0.023
Age,77.0,2,0.023
CryoSleep,False,5439,62.5676
CryoSleep,True,3037,34.9362
CryoSleep,<NULL>,217,2.4963
Deck,F,2909,33.4637
Deck,G,2588,29.7711
Deck,E,885,10.1806
Deck,B,796,9.1568
Deck,C,761,8.7542
Deck,D,487,5.6022
Deck,A,262,3.0139
Deck,T,5,0.0575
Destination,TRAPPIST-1e,6072,69.8493
Destination,55 Cancri e,1816,20.8904
Destination,PSO J318.5-22,805,9.2603
FoodCourt,0.0,5504,63.3153
FoodCourt,1.0,117,1.3459
FoodCourt,458.0772032902468,100,1.1504
FoodCourt,2.0,75,0.8628
FoodCourt,4.0,53,0.6097
FoodCourt,3.0,53,0.6097
FoodCourt,5.0,33,0.3796
FoodCourt,6.0,31,0.3566
FoodCourt,9.0,29,0.3336
FoodCourt,7.0,28,0.3221
FoodCourt,10.0,27,0.3106
FoodCourt,8.0,20,0.2301
FoodCourt,11.0,19,0.2186
FoodCourt,20.0,18,0.2071
FoodCourt,25.0,18,0.2071
FoodCourt,16.0,16,0.1841
FoodCourt,21.0,16,0.1841
FoodCourt,22.0,15,0.1726
FoodCourt,13.0,15,0.1726
FoodCourt,12.0,14,0.161
FoodCourt,30.0,12,0.138
FoodCourt,18.0,12,0.138
FoodCourt,53.0,12,0.138
FoodCourt,33.0,12,0.138
FoodCourt,15.0,11,0.1265
FoodCourt,17.0,11,0.1265
FoodCourt,44.0,11,0.1265
FoodCourt,14.0,11,0.1265
FoodCourt,31.0,11,0.1265
FoodCourt,32.0,10,0.115
FoodCourt,29.0,9,0.1035
FoodCourt,79.0,9,0.1035
FoodCourt,82.0,9,0.1035
FoodCourt,34.0,8,0.092
