=== Age ===
- Valore: 24.0 | Conteggio: 324 | Percentuale: 3.73%
- Valore: 18.0 | Conteggio: 320 | Percentuale: 3.68%
- Valore: 21.0 | Conteggio: 311 | Percentuale: 3.58%
- Valore: 19.0 | Conteggio: 293 | Percentuale: 3.37%
- Valore: 23.0 | Conteggio: 292 | Percentuale: 3.36%
- Valore: 22.0 | Conteggio: 291 | Percentuale: 3.35%
- Valore: 20.0 | Conteggio: 277 | Percentuale: 3.19%
- Valore: 26.0 | Conteggio: 268 | Percentuale: 3.08%
- Valore: 28.0 | Conteggio: 267 | Percentuale: 3.07%
- Valore: 27.0 | Conteggio: 259 | Percentuale: 2.98%
- Valore: 25.0 | Conteggio: 243 | Percentuale: 2.80%
- Valore: 29.0 | Conteggio: 230 | Percentuale: 2.65%
- Valore: 31.0 | Conteggio: 202 | Percentuale: 2.32%
- Valore: 32.0 | Conteggio: 199 | Percentuale: 2.29%
- Valore: 30.0 | Conteggio: 183 | Percentuale: 2.11%
- Valore: <NULL> | Conteggio: 179 | Percentuale: 2.06%
- Valore: 33.0 | Conteggio: 178 | Percentuale: 2.05%
- Valore: 0.0 | Conteggio: 178 | Percentuale: 2.05%
- Valore: 36.0 | Conteggio: 178 | Percentuale: 2.05%
- Valore: 37.0 | Conteggio: 177 | Percentuale: 2.04%
- Valore: 35.0 | Conteggio: 171 | Percentuale: 1.97%
- Valore: 38.0 | Conteggio: 161 | Percentuale: 1.85%
- Valore: 17.0 | Conteggio: 158 | Percentuale: 1.82%
- Valore: 15.0 | Conteggio: 155 | Percentuale: 1.78%
- Valore: 34.0 | Conteggio: 148 | Percentuale: 1.70%
- Valore: 16.0 | Conteggio: 147 | Percentuale: 1.69%
- Valore: 13.0 | Conteggio: 141 | Percentuale: 1.62%
- Valore: 39.0 | Conteggio: 138 | Percentuale: 1.59%
- Valore: 14.0 | Conteggio: 138 | Percentuale: 1.59%
- Valore: 41.0 | Conteggio: 129 | Percentuale: 1.48%
- Valore: 43.0 | Conteggio: 128 | Percentuale: 1.47%
- Valore: 40.0 | Conteggio: 128 | Percentuale: 1.47%
- Valore: 42.0 | Conteggio: 119 | Percentuale: 1.37%
- Valore: 44.0 | Conteggio: 115 | Percentuale: 1.32%
- Valore: 46.0 | Conteggio: 97 | Percentuale: 1.12%
- Valore: 45.0 | Conteggio: 89 | Percentuale: 1.02%
- Valore: 47.0 | Conteggio: 88 | Percentuale: 1.01%
- Valore: 49.0 | Conteggio: 83 | Percentuale: 0.95%
- Valore: 2.0 | Conteggio: 75 | Percentuale: 0.86%
- Valore: 3.0 | Conteggio: 75 | Percentuale: 0.86%
- Valore: 50.0 | Conteggio: 74 | Percentuale: 0.85%
- Valore: 48.0 | Conteggio: 72 | Percentuale: 0.83%
- Valore: 4.0 | Conteggio: 71 | Percentuale: 0.82%
- Valore: 55.0 | Conteggio: 68 | Percentuale: 0.78%
- Valore: 54.0 | Conteggio: 67 | Percentuale: 0.77%
- Valore: 1.0 | Conteggio: 67 | Percentuale: 0.77%
- Valore: 53.0 | Conteggio: 61 | Percentuale: 0.70%
- Valore: 51.0 | Conteggio: 59 | Percentuale: 0.68%
- Valore: 7.0 | Conteggio: 52 | Percentuale: 0.60%
- Valore: 52.0 | Conteggio: 52 | Percentuale: 0.60%
- Valore: 56.0 | Conteggio: 48 | Percentuale: 0.55%
- Valore: 58.0 | Conteggio: 47 | Percentuale: 0.54%
- Valore: 11.0 | Conteggio: 47 | Percentuale: 0.54%
- Valore: 8.0 | Conteggio: 46 | Percentuale: 0.53%
- Valore: 57.0 | Conteggio: 46 | Percentuale: 0.53%
- Valore: 9.0 | Conteggio: 42 | Percentuale: 0.48%
- Valore: 12.0 | Conteggio: 41 | Percentuale: 0.47%
- Valore: 6.0 | Conteggio: 40 | Percentuale: 0.46%
- Valore: 10.0 | Conteggio: 39 | Percentuale: 0.45%
- Valore: 59.0 | Conteggio: 35 | Percentuale: 0.40%
- Valore: 60.0 | Conteggio: 34 | Percentuale: 0.39%
- Valore: 5.0 | Conteggio: 33 | Percentuale: 0.38%
- Valore: 61.0 | Conteggio: 32 | Percentuale: 0.37%
- Valore: 64.0 | Conteggio: 29 | Percentuale: 0.33%
- Valore: 62.0 | Conteggio: 26 | Percentuale: 0.30%
- Valore: 63.0 | Conteggio: 26 | Percentuale: 0.30%
- Valore: 65.0 | Conteggio: 23 | Percentuale: 0.26%
- Valore: 67.0 | Conteggio: 13 | Percentuale: 0.15%
